# Analysis proposal only; the current runtime does not consume this file.
# LAYER CAPACITY
0 7
1 6
2 6
3 26
4 35
5 34
6 32
7 29
8 26
9 28
10 28
11 30
12 23
13 28
14 22
15 24
16 23
17 18
18 24
19 36
20 26
21 34
22 22
23 35
24 24
25 28
26 24
27 23
28 27
29 27
30 22
31 21
32 27
33 15
34 19
35 28
36 17
37 15
38 14
39 18
40 12
41 22
42 20
