expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
33,12,7,19,0,17,5,0,5,20,11,10,0,14,3,11,2,0,29,0,4,0,0,12,0,9,9,1,0,1,1,3,7,0,0,10,4,0,2,2,6,23,0,0
34,10,5,6,10,1,91,36,13,1,13,2,49,1,0,0,0,1,0,0,0,2,20,0,0,2,0,3,2,1,10,0,5,15,10,0,208,1,15,1,20,10,4,2
35,23,6,23,18,0,21,9,13,10,3,18,35,0,5,11,1,5,0,6,3,0,5,2,2,1,6,0,17,0,13,20,37,1,0,1,9,3,1,20,1,5,5,11
36,14,12,14,9,0,23,0,1,0,5,5,2,37,1,2,26,34,0,22,9,96,1,0,8,0,3,0,3,0,1,4,2,1,13,2,0,1,0,8,0,4,9,0
37,31,9,18,2,4,0,0,5,5,2,0,1,43,8,16,5,2,4,9,0,0,10,23,0,0,2,0,3,3,0,25,4,15,1,21,5,0,31,2,4,1,0,0
38,9,13,2,9,28,4,3,1,2,2,6,5,3,1,2,35,31,14,4,13,4,10,10,44,0,0,0,8,13,0,0,5,0,6,1,0,3,420,16,5,1,1,4
39,7,8,21,0,17,0,5,8,74,0,1,2,0,2,0,1,1,14,2,13,5,0,4,0,52,11,3,67,1,1,9,1,1,59,6,0,2,5,0,1,17,1,2
40,8,20,11,19,0,6,0,13,0,12,259,3,6,18,0,0,4,2,9,10,286,0,3,0,6,1,0,0,0,0,20,1,6,3,0,2,0,2,4,0,0,1,5
41,8,4,5,5,2,3,0,3,1,0,7,1,3,0,8,0,0,3,37,1,0,0,0,1,4,15,0,5,6,7,14,0,22,0,1,0,0,3,2,4,0,2,2
42,8,21,14,9,0,0,19,0,6,10,11,6,6,1,0,1,6,3,3,6,0,4,3,0,0,22,1,10,0,15,3,13,0,0,0,12,1,4,5,8,2,2,1
43,14,10,16,1,3,2,7,10,1,1,0,30,175,0,14,0,2,0,23,1,0,20,7,0,0,1,0,0,33,0,0,29,11,14,2,11,0,0,4,1,1,2,0
44,17,8,10,21,0,29,0,17,0,0,1,11,0,2,0,1,0,5,0,16,0,0,5,0,1,10,0,8,3,42,4,1,10,33,25,0,0,2,2,0,0,6,0
45,8,15,6,1,4,21,0,0,4,2,12,17,22,0,0,12,0,1,3,14,15,2,0,3,14,0,1,1,0,19,14,230,1,3,4,0,1,0,16,0,2,1,9
46,6,9,8,3,13,27,1,3,0,0,2,2,2,0,2,24,1,1,3,4,2,6,11,0,11,0,2,7,0,6,4,45,18,0,15,0,1,0,0,3,16,0,8
47,16,11,7,0,0,20,3,9,6,4,0,21,0,109,1,0,0,0,0,5,1,5,0,3,3,11,5,1,0,10,1,1,11,1,0,12,1,4,7,4,1,1,24
48,13,11,8,0,0,0,5,0,22,9,8,2,0,1,0,0,1,0,54,3,11,0,8,3,27,6,5,12,1,6,4,3,20,2,0,6,18,2,26,0,24,1,1
49,7,11,11,3,0,15,9,4,0,10,12,0,1,16,118,0,2,0,0,12,1,135,3,20,2,1,0,1,2,4,5,14,2,6,2,0,0,0,3,3,3,0,1
50,13,11,11,38,24,0,82,0,13,44,0,15,35,5,12,4,1,3,10,3,8,16,7,0,0,2,6,16,0,0,8,4,0,0,6,1,7,7,4,2,2,2,1
51,15,11,4,0,0,1,30,4,7,16,22,0,11,13,0,0,5,0,0,0,0,0,9,1,0,18,37,0,5,6,1,0,0,2,9,14,10,0,2,0,0,0,3
52,24,17,5,18,1,1,76,0,1,17,0,0,4,0,0,0,2,1,0,0,2,7,37,9,0,0,10,0,1,6,3,8,3,0,11,0,0,0,2,15,2,72,1
53,17,6,30,1,7,13,75,2,157,12,5,6,0,50,1,0,0,27,0,18,12,23,10,28,0,6,249,0,8,0,1,1,6,3,24,3,0,1,1,0,0,1,4
54,16,5,8,14,0,3,1,17,0,1,3,1,22,1,0,2,0,0,0,0,1,6,0,17,18,8,0,3,14,10,0,4,2,10,12,4,0,5,0,1,8,0,10
55,22,18,4,1,8,19,6,1,5,36,0,0,2,0,0,0,0,0,0,0,8,5,3,0,25,7,0,18,2,3,0,3,3,321,0,2,2,140,0,6,0,0,0
56,4,11,6,0,23,0,34,10,8,0,6,3,0,1,0,0,90,1,5,1,1,13,6,0,4,18,1,15,11,3,2,1,4,2,1,22,3,1,6,3,3,0,0
57,14,4,9,6,1,6,21,0,2,85,0,47,0,3,1,0,28,0,4,0,0,4,0,5,0,2,0,4,5,20,0,8,1,1,20,3,8,6,0,4,22,0,0
58,3,7,13,0,1,0,22,0,1,23,1,14,2,1,5,5,21,8,10,5,0,1,0,14,56,0,9,16,1,47,5,29,4,185,4,0,10,2,5,0,0,0,0
59,16,13,5,37,0,22,0,6,0,0,112,4,0,76,0,0,0,1,0,16,0,0,11,17,1,0,0,3,1,7,16,0,2,1,14,5,0,0,17,7,4,12,6
60,14,8,9,398,0,0,0,56,2,2,2,5,5,0,25,18,0,0,2,30,37,0,2,60,0,10,0,1,0,2,0,0,5,0,8,9,22,17,0,2,4,0,29
61,9,9,21,14,1,13,0,7,1,2,10,0,17,0,21,0,35,111,0,0,108,5,24,10,0,23,132,0,11,7,0,5,2,1,1,2,7,1,1,12,0,2,5
62,13,12,14,13,0,20,15,4,2,2,11,32,1,6,9,2,0,0,4,0,0,97,2,1,11,0,8,0,14,6,0,1,0,10,3,2,4,4,7,0,18,0,2
63,11,8,12,14,2,117,0,0,3,1,0,1,0,10,0,0,2,8,0,0,17,0,7,43,5,0,9,6,0,0,5,0,1,0,1,12,0,0,3,0,1,4,3
64,11,9,5,16,10,1,10,1,2,27,2,0,0,19,6,48,0,0,1,1,0,0,47,63,28,19,25,11,0,0,0,20,0,0,1,19,6,2,4,11,0,13,10
65,21,21,37,0,14,13,3,2,2,7,0,34,0,0,0,14,7,3,19,2,8,17,1,1,3,104,0,3,1,24,11,7,8,10,1,0,0,55,3,11,0,4,0
66,6,25,9,4,6,0,0,22,2,1,0,2,0,11,4,22,0,0,2,0,0,7,89,1,1,3,29,38,0,361,12,0,0,1,0,39,0,43,4,318,0,17,7
67,13,6,6,5,8,1,13,0,17,1,0,0,2,0,4,0,0,0,1,109,0,0,24,3,23,54,2,0,3,2,0,17,0,0,2,1,2,19,7,1,0,10,3
